  I      S           RS          UE        DELS        THETA        VW          CF         RTHETA
 27  0.5328E+00  0.2018E+07  0.1263E+01  0.8865E-03  0.1#IOE+01  0.0000E+00  0.3377E-02  0.1#IOE+01
 28  0.5532E+00  0.2106E+07  0.1269E+01  0.9195E-03  0.1#IOE+01  0.0000E+00  0.3337E-02  0.1#IOE+01
 29  0.5736E+00  0.2190E+07  0.1273E+01  0.9595E-03  0.1#IOE+01  0.0000E+00  0.3283E-02  0.1#IOE+01
 30  0.5940E+00  0.2264E+07  0.1270E+01  0.1021E-02  0.1#IOE+01  0.0000E+00  0.3152E-02  0.1#IOE+01
 31  0.6144E+00  0.2312E+07  0.1254E+01  0.1149E-02  0.1#IOE+01  0.0000E+00  0.2832E-02  0.1#IOE+01
 32  0.6348E+00  0.2278E+07  0.1196E+01  0.1385E-02  0.1#IOE+01  0.0000E+00  0.2455E-02  0.1#IOE+01
 33  0.6553E+00  0.2274E+07  0.1157E+01  0.1601E-02  0.1#IOE+01  0.0000E+00  0.2337E-02  0.1#IOE+01
 34  0.6757E+00  0.2335E+07  0.1152E+01  0.1711E-02  0.1#IOE+01  0.0000E+00  0.2387E-02  0.1#IOE+01
 35  0.6961E+00  0.2366E+07  0.1133E+01  0.1814E-02  0.1#IOE+01  0.0000E+00  0.2373E-02  0.1#IOE+01
 36  0.7166E+00  0.2424E+07  0.1128E+01  0.1895E-02  0.1#IOE+01  0.0000E+00  0.2401E-02  0.1#IOE+01
 37  0.7371E+00  0.2473E+07  0.1119E+01  0.1987E-02  0.1#IOE+01  0.0000E+00  0.2367E-02  0.1#IOE+01
 38  0.7575E+00  0.2508E+07  0.1103E+01  0.2121E-02  0.1#IOE+01  0.0000E+00  0.2272E-02  0.1#IOE+01
 39  0.7780E+00  0.2538E+07  0.1087E+01  0.2280E-02  0.1#IOE+01  0.0000E+00  0.2186E-02  0.1#IOE+01
 40  0.7985E+00  0.2565E+07  0.1071E+01  0.2458E-02  0.1#IOE+01  0.0000E+00  0.2096E-02  0.1#IOE+01
 41  0.8190E+00  0.2587E+07  0.1053E+01  0.2663E-02  0.1#IOE+01  0.0000E+00  0.1994E-02  0.1#IOE+01
 42  0.8395E+00  0.2604E+07  0.1034E+01  0.2905E-02  0.1#IOE+01  0.0000E+00  0.1873E-02  0.1#IOE+01
 43  0.8600E+00  0.2613E+07  0.1013E+01  0.3201E-02  0.1#IOE+01  0.0000E+00  0.1728E-02  0.1#IOE+01
 44  0.8805E+00  0.2614E+07  0.9896E+00  0.3538E-02  0.1#IOE+01  0.0000E+00  0.1601E-02  0.1#IOE+01
 45  0.9011E+00  0.2627E+07  0.9720E+00  0.3844E-02  0.1#IOE+01  0.0000E+00  0.1546E-02  0.1#IOE+01
 46  0.9216E+00  0.2649E+07  0.9581E+00  0.4389E-02  0.1#IOE+01  0.0000E+00  0.1184E-02  0.1#IOE+01
 47  0.9422E+00  0.2536E+07  0.8971E+00  0.5596E-02  0.1#IOE+01  0.0000E+00  0.6681E-03  0.1#IOE+01
 48  0.9628E+00  0.2536E+07  0.8779E+00  0.6752E-02  0.1#IOE+01  0.0000E+00  0.5141E-03  0.1#IOE+01
 49  0.9834E+00  0.2514E+07  0.8520E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
