  I      S           RS          UE        DELS        THETA        VW          CF         RTHETA
  1  0.0000E+00  0.0000E+00  0.1013E+01  0.0000E+00  0.0000E+00  0.1232E+01  0.0000E+00  0.0000E+00
  2  0.2067E-01  0.3175E+05  0.5119E+00  0.1999E-03  0.1#IOE+01  0.0000E+00  0.3044E-02  0.1#IOE+01
  3  0.4131E-01  0.1055E+06  0.8510E+00  0.1661E-03  0.1#IOE+01  0.0000E+00  0.4198E-02  0.1#IOE+01
  4  0.6193E-01  0.1659E+06  0.8928E+00  0.1729E-03  0.1#IOE+01  0.0000E+00  0.3131E-02  0.1#IOE+01
  5  0.8253E-01  0.2311E+06  0.9334E+00  0.2118E-03  0.1#IOE+01  0.0000E+00  0.2304E-02  0.1#IOE+01
  6  0.1031E+00  0.2988E+06  0.9660E+00  0.2139E-03  0.1#IOE+01  0.0000E+00  0.2820E-02  0.1#IOE+01
  7  0.1237E+00  0.3679E+06  0.9915E+00  0.2249E-03  0.1#IOE+01  0.0000E+00  0.3728E-02  0.1#IOE+01
  8  0.1442E+00  0.4392E+06  0.1015E+01  0.2549E-03  0.1#IOE+01  0.0000E+00  0.4359E-02  0.1#IOE+01
  9  0.1648E+00  0.5127E+06  0.1037E+01  0.2961E-03  0.1#IOE+01  0.0000E+00  0.4443E-02  0.1#IOE+01
 10  0.1853E+00  0.5877E+06  0.1057E+01  0.3376E-03  0.1#IOE+01  0.0000E+00  0.4407E-02  0.1#IOE+01
 11  0.2058E+00  0.6640E+06  0.1075E+01  0.3789E-03  0.1#IOE+01  0.0000E+00  0.4289E-02  0.1#IOE+01
 12  0.2263E+00  0.7416E+06  0.1092E+01  0.4182E-03  0.1#IOE+01  0.0000E+00  0.4153E-02  0.1#IOE+01
 13  0.2468E+00  0.8204E+06  0.1108E+01  0.4552E-03  0.1#IOE+01  0.0000E+00  0.4069E-02  0.1#IOE+01
 14  0.2672E+00  0.9004E+06  0.1123E+01  0.4906E-03  0.1#IOE+01  0.0000E+00  0.3982E-02  0.1#IOE+01
 15  0.2877E+00  0.9814E+06  0.1137E+01  0.5247E-03  0.1#IOE+01  0.0000E+00  0.3918E-02  0.1#IOE+01
 16  0.3082E+00  0.1064E+07  0.1151E+01  0.5578E-03  0.1#IOE+01  0.0000E+00  0.3838E-02  0.1#IOE+01
 17  0.3286E+00  0.1147E+07  0.1163E+01  0.5894E-03  0.1#IOE+01  0.0000E+00  0.3791E-02  0.1#IOE+01
 18  0.3490E+00  0.1231E+07  0.1176E+01  0.6197E-03  0.1#IOE+01  0.0000E+00  0.3741E-02  0.1#IOE+01
 19  0.3695E+00  0.1318E+07  0.1189E+01  0.6484E-03  0.1#IOE+01  0.0000E+00  0.3703E-02  0.1#IOE+01
 20  0.3899E+00  0.1404E+07  0.1200E+01  0.6776E-03  0.1#IOE+01  0.0000E+00  0.3649E-02  0.1#IOE+01
 21  0.4103E+00  0.1491E+07  0.1211E+01  0.7071E-03  0.1#IOE+01  0.0000E+00  0.3607E-02  0.1#IOE+01
 22  0.4307E+00  0.1578E+07  0.1221E+01  0.7368E-03  0.1#IOE+01  0.0000E+00  0.3563E-02  0.1#IOE+01
 23  0.4511E+00  0.1666E+07  0.1231E+01  0.7661E-03  0.1#IOE+01  0.0000E+00  0.3525E-02  0.1#IOE+01
 24  0.4715E+00  0.1754E+07  0.1240E+01  0.7956E-03  0.1#IOE+01  0.0000E+00  0.3488E-02  0.1#IOE+01
 25  0.4920E+00  0.1842E+07  0.1248E+01  0.8253E-03  0.1#IOE+01  0.0000E+00  0.3451E-02  0.1#IOE+01
 26  0.5124E+00  0.1930E+07  0.1256E+01  0.8554E-03  0.1#IOE+01  0.0000E+00  0.3416E-02  0.1#IOE+01
